WordItem,WordColor,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textBlank.started,textBlank.stopped,textStudyWord.started,textStudyWord.stopped,textWait.started,textWait.stopped,keyWait.keys,keyWait.rt,keyWait.started,keyWait.stopped,textWord.started,textWord.stopped,keyWord.keys,keyWord.rt,keyWord.started,keyWord.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,16.609725799993612,None,space,33.56193009996787,16.609725799993612,None,,,,,,,,,,,,,,,,,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
,,,,,,,,,,,,,,,,65.21269499999471,None,63.26361710007768,None,65.7099360000575,None,v,3.171627000090666,65.7099360000575,None,,,,,,,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
ISBAH,blue,,,,,0,0,0,5,,,,,,,73.03293970006052,None,,,,,,,,,68.95208279998042,None,n,4.04894519993104,68.95208279998042,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
JAKE,blue,,,,,0,1,1,4,,,,,,,74.24481699999887,None,,,,,,,,,73.59806170000229,None,y,0.6124983999179676,73.59806170000229,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
VARUNIL,green,,,,,0,2,2,0,,,,,,,75.02250900003128,None,,,,,,,,,74.79313570004888,None,n,0.19099299993831664,74.79313570004888,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
STANLEY,green,,,,,0,3,3,1,,,,,,,75.92987350001931,None,,,,,,,,,75.61263119999785,None,y,0.29440100002102554,75.61263119999785,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
RESHMA,None,,,,,0,4,4,8,,,,,,,76.8930811000755,None,,,,,,,,,76.48161909996998,None,n,0.3783605999778956,76.48161909996998,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
PARTH,None,,,,,0,5,5,12,,,,,,,77.74796830001287,None,,,,,,,,,77.42967760004103,None,n,0.28872620000038296,77.42967760004103,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
KEVIN,None,,,,,0,6,6,11,,,,,,,78.63327390002087,None,,,,,,,,,78.27329589996953,None,n,0.3403868000023067,78.27329589996953,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
JAY,green,,,,,0,7,7,2,,,,,,,79.56519370002206,None,,,,,,,,,79.17546409997158,None,y,0.36114479997195303,79.17546409997158,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
VIGNESH,blue,,,,,0,8,8,3,,,,,,,80.19724320003297,None,,,,,,,,,80.091656900011,None,n,0.07276999996975064,80.091656900011,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
NILESH,None,,,,,0,9,9,9,,,,,,,80.91701890004333,None,,,,,,,,,80.72543440002482,None,n,0.1693765000673011,80.72543440002482,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
JIMMY,None,,,,,0,10,10,10,,,,,,,81.60071899998002,None,,,,,,,,,81.45181200001389,None,y,0.11378980008885264,81.45181200001389,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
BHAYAVA,None,,,,,0,11,11,7,,,,,,,82.3520828000037,None,,,,,,,,,82.14351540000644,None,y,0.18580980005208403,82.14351540000644,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
UZZAL,None,,,,,0,12,12,6,,,,,,,83.13181549997535,None,,,,,,,,,82.9143246000167,None,y,0.1872331000631675,82.9143246000167,None,,,,001,2019_Nov_03_0149,Welcome1,3.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.63999729999341,None,,,,,,,
